BodyPart,adj,totalM,pctM,totalF,pctF,diff,total
arm,only,41,0.000203968,15,0.000111841,1.823731585,56
arm,open,19,9.45E-05,23,0.000171489,-1.814286684,42
arm,other,127,0.000631803,60,0.000447364,1.412279947,187
arm,out,30,0.000149245,9,6.71E-05,2.224062908,39
arm,outstretch,24,0.000119396,8,5.96E-05,2.001656618,32
arm,outstretche,28,0.000139295,8,5.96E-05,2.335266054,36
arm,own,71,0.000353213,45,0.000335523,1.05272311,116
arm,powerful,38,0.000189043,5,3.73E-05,5.070863431,43
arm,right,626,0.003114242,183,0.00136446,2.282398985,809
arm,round,19,9.45E-05,38,0.00028333,-2.99751713,57
arm,short,36,0.000179094,15,0.000111841,1.601325294,51
arm,skinny,22,0.000109446,27,0.000201314,-1.839385512,49
arm,slender,3,1.49E-05,22,0.000164033,-10.99089614,25
arm,slightly,18,8.95E-05,9,6.71E-05,1.334437745,27
arm,slowly,73,0.000363162,29,0.000216226,1.679550955,102
arm,small,10,4.97E-05,16,0.000119297,-2.398013704,26
arm,soon,15,7.46E-05,16,0.000119297,-1.598675803,31
arm,stiff,16,7.96E-05,9,6.71E-05,1.186166884,25
arm,still,150,0.000746224,68,0.000507012,1.471806336,218
arm,straight,47,0.000233817,29,0.000216226,1.081354724,76
arm,strong,96,0.000477583,39,0.000290787,1.642384917,135
arm,suddenly,67,0.000333313,41,0.000305699,1.090333279,108
arm,there,22,0.000109446,10,7.46E-05,1.46788152,32
arm,thick,44,0.000218892,11,8.20E-05,2.66887549,55
arm,thin,48,0.000238792,84,0.000626309,-2.622827489,132
arm,tight,40,0.000198993,47,0.000350435,-1.761041314,87
arm,tightly,50,0.000248741,63,0.000469732,-1.888435792,113
arm,tire,16,7.96E-05,9,6.71E-05,1.186166884,25
arm,together,17,8.46E-05,10,7.46E-05,1.134272083,27
arm,up,38,0.000189043,23,0.000171489,1.102361615,61
arm,upper,142,0.000706425,172,0.001282443,-1.815397699,314
arm,very,19,9.45E-05,11,8.20E-05,1.152468962,30
arm,warm,12,5.97E-05,16,0.000119297,-1.998344754,28
arm,when,236,0.001174059,129,0.000961832,1.22064848,365
arm,where,25,0.000124371,14,0.000104385,1.191462272,39
arm,white,23,0.000114421,66,0.0004921,-4.300785448,89
arm,whole,20,9.95E-05,8,5.96E-05,1.668047181,28
arm,wide,184,0.000915368,90,0.000671046,1.364091917,274
arm,wildly,18,8.95E-05,11,8.20E-05,1.0918127,29
arm,wound,24,0.000119396,1,7.46E-06,16.01325294,25
body,again,36,0.000179094,38,0.00028333,-1.58202293,74
body,against,18,8.95E-05,7,5.22E-05,1.715705672,25
body,all,149,0.000741249,93,0.000693414,1.068985075,242
body,almost,26,0.000129346,15,0.000111841,1.156512712,41
body,already,23,0.000114421,12,8.95E-05,1.278836172,35
body,around,20,9.95E-05,18,0.000134209,-1.348882709,38
body,away,68,0.000338288,56,0.00041754,-1.23427176,124
body,back,110,0.000547231,54,0.000402628,1.359149555,164
body,beautiful,14,6.96E-05,26,0.000193858,-2.783408764,40
body,bend,18,8.95E-05,9,6.71E-05,1.334437745,27
body,big,56,0.00027859,14,0.000104385,2.66887549,70
body,black,19,9.45E-05,6,4.47E-05,2.112859763,25
body,break,26,0.000129346,7,5.22E-05,2.478241526,33
body,close,18,8.95E-05,23,0.000171489,-1.915080389,41
body,cold,28,0.000139295,18,0.000134209,1.037896024,46
body,dead,68,0.000338288,39,0.000290787,1.163355983,107
body,down,22,0.000109446,9,6.71E-05,1.630979466,31
body,entire,158,0.000786023,98,0.000730694,1.075720223,256
body,even,61,0.000303464,28,0.00020877,1.453583972,89
body,far,12,5.97E-05,14,0.000104385,-1.748551659,26
body,flat,20,9.95E-05,5,3.73E-05,2.66887549,25
body,forward,55,0.000273616,34,0.000253506,1.079324647,89
body,frail,18,8.95E-05,23,0.000171489,-1.915080389,41
body,full,12,5.97E-05,13,9.69E-05,-1.623655112,25
body,good,37,0.000184069,17,0.000126753,1.452182252,54
body,great,17,8.46E-05,9,6.71E-05,1.260302315,26
body,hard,51,0.000253716,14,0.000104385,2.430583036,65
body,heavy,45,0.000223867,23,0.000171489,1.305428229,68
body,here,17,8.46E-05,8,5.96E-05,1.417840104,25
body,hot,14,6.96E-05,21,0.000156577,-2.248137848,35
body,large,28,0.000139295,11,8.20E-05,1.698375312,39
body,late,42,0.000208943,22,0.000164033,1.273781484,64
body,lean,40,0.000198993,19,0.000141665,1.404671311,59
body,lifeless,14,6.96E-05,12,8.95E-05,-1.284650199,26
body,light,16,7.96E-05,10,7.46E-05,1.067550196,26
body,limp,32,0.000159194,20,0.000149121,1.067550196,52
body,lithe,12,5.97E-05,13,9.69E-05,-1.623655112,25
body,little,74,0.000368137,60,0.000447364,-1.215209647,134
body,long,74,0.000368137,69,0.000514468,-1.397491095,143
body,low,42,0.000208943,17,0.000126753,1.648423097,59
body,much,59,0.000293515,49,0.000365347,-1.24473169,108
body,muscular,19,9.45E-05,6,4.47E-05,2.112859763,25
body,naked,88,0.000437785,137,0.001021481,-2.333294584,225
body,now,85,0.00042286,55,0.000410084,1.031156439,140
body,numb,14,6.96E-05,11,8.20E-05,-1.177596015,25
body,old,41,0.000203968,26,0.000193858,1.052152837,67
body,only,25,0.000124371,21,0.000156577,-1.258957195,46
body,over,22,0.000109446,15,0.000111841,-1.02188084,37
body,own,377,0.00187551,195,0.001453933,1.289956487,572
body,powerful,28,0.000139295,1,7.46E-06,18.68212843,29
body,right,15,7.46E-05,15,0.000111841,-1.498758565,30
body,rigid,33,0.000164169,11,8.20E-05,2.001656618,44
body,round,14,6.96E-05,16,0.000119297,-1.712866932,30
body,slender,9,4.48E-05,17,0.000126753,-2.830988401,26
body,slightly,25,0.000124371,17,0.000126753,-1.019155824,42
body,slim,13,6.47E-05,21,0.000156577,-2.421071528,34
body,slowly,37,0.000184069,10,7.46E-05,2.468709828,47
body,small,33,0.000164169,53,0.000395171,-2.407097089,86
body,soft,15,7.46E-05,33,0.00024605,-3.297268843,48
body,stiff,24,0.000119396,19,0.000141665,-1.186517197,43
body,still,120,0.000596979,77,0.000574117,1.039821619,197
body,straight,13,6.47E-05,12,8.95E-05,-1.383469445,25
body,strong,41,0.000203968,24,0.000178946,1.139832241,65
body,suddenly,30,0.000149245,17,0.000126753,1.177445069,47
body,tall,27,0.00013432,8,5.96E-05,2.251863695,35
body,there,28,0.000139295,18,0.000134209,1.037896024,46
body,thin,69,0.000343263,55,0.000410084,-1.194662624,124
body,tiny,13,6.47E-05,22,0.000164033,-2.536360649,35
body,upper,130,0.000646728,47,0.000350435,1.845499009,177
body,very,21,0.000104471,10,7.46E-05,1.401159632,31
body,warm,40,0.000198993,52,0.000387715,-1.948386135,92
body,weak,16,7.96E-05,14,0.000104385,-1.311413745,30
body,wet,22,0.000109446,8,5.96E-05,1.834851899,30
body,when,124,0.000616879,74,0.000551749,1.118042435,198
body,where,75,0.000373112,53,0.000395171,-1.059122719,128
body,white,25,0.000124371,20,0.000149121,-1.199006852,45
body,whole,463,0.002303345,326,0.002430677,-1.055281409,789
body,young,15,7.46E-05,38,0.00028333,-3.796855032,53
eye,again,745,0.003706246,519,0.003869698,-1.044101604,1264
eye,ahead,64,0.000318389,39,0.000290787,1.094923278,103
eye,all,67,0.000333313,53,0.000395171,-1.185585134,120
eye,almost,144,0.000716375,69,0.000514468,1.392456777,213
eye,already,53,0.000263666,42,0.000313155,-1.187695467,95
eye,always,93,0.000462659,52,0.000387715,1.193295291,145
eye,around,67,0.000333313,20,0.000149121,2.235183223,87
eye,away,332,0.001651643,210,0.001565774,1.054841265,542
eye,back,388,0.001930233,241,0.001796912,1.074194699,629
eye,beautiful,60,0.00029849,111,0.000827623,-2.772703346,171
eye,big,161,0.000800947,242,0.001804368,-2.252792377,403
eye,black,338,0.001681492,256,0.001908753,-1.135154416,594
eye,bloodshot,184,0.000915368,48,0.000357891,2.557672345,232
eye,blue,1127,0.00560663,676,0.0050403,1.112360458,1803
eye,briefly,91,0.000452709,81,0.000603941,-1.334059822,172
eye,bright,351,0.001746164,331,0.002467958,-1.413359217,682
eye,brown,368,0.001830736,340,0.002535062,-1.384722587,708
eye,clear,166,0.000825821,142,0.001058761,-1.28207058,308
eye,close,379,0.00188546,291,0.002169715,-1.150761853,670
eye,cold,120,0.000596979,51,0.000380259,1.569926759,171
eye,dark,640,0.00318389,567,0.004227589,-1.327806416,1207
eye,deep,137,0.000681551,103,0.000767975,-1.126803885,240
eye,down,48,0.000238792,40,0.000298243,-1.248965471,88
eye,dull,55,0.000273616,34,0.000253506,1.079324647,89
eye,even,183,0.000910393,117,0.00087236,1.043598749,300
eye,far,65,0.000323364,36,0.000268418,1.204700742,101
eye,finally,106,0.000527332,63,0.000469732,1.12262223,169
eye,full,176,0.00087557,166,0.001237707,-1.413601828,342
eye,glassy,52,0.000258691,42,0.000313155,-1.210535764,94
eye,good,160,0.000795972,77,0.000574117,1.386428826,237
eye,gray,259,0.00128848,138,0.001028937,1.252244116,397
eye,great,41,0.000203968,60,0.000447364,-2.193305217,101
eye,green,207,0.001029789,307,0.002289012,-2.222796519,514
eye,grey,63,0.000313414,56,0.00041754,-1.332229836,119
eye,half,155,0.000771098,95,0.000708326,1.088620266,250
eye,hard,118,0.00058703,76,0.000566661,1.035945092,194
eye,heavy,59,0.000293515,32,0.000238594,1.230184796,91
eye,huge,41,0.000203968,56,0.00041754,-2.047084869,97
eye,keen,77,0.000383062,23,0.000171489,2.233732747,100
eye,large,185,0.000920343,275,0.002050418,-2.227884354,460
eye,leave,274,0.001363103,98,0.000730694,1.865489501,372
eye,light,75,0.000373112,48,0.000357891,1.042529488,123
eye,like,53,0.000263666,32,0.000238594,1.105081258,85
eye,little,206,0.001024814,87,0.000648678,1.579851583,293
eye,long,106,0.000527332,56,0.00041754,1.262950009,162
eye,much,195,0.000970091,122,0.00090964,1.066456395,317
eye,narrow,73,0.000363162,41,0.000305699,1.187975066,114
eye,now,343,0.001706366,235,0.001752175,-1.026846247,578
eye,old,44,0.000218892,47,0.000350435,-1.600946649,91
eye,only,114,0.00056713,79,0.000589029,-1.038613392,193
eye,open,490,0.002437665,308,0.002296468,1.06148457,798
eye,own,472,0.002348119,248,0.001849104,1.269868177,720
eye,pale,202,0.001004915,94,0.00070087,1.433810769,296
eye,quickly,72,0.000358188,59,0.000439908,-1.22814938,131
eye,quite,52,0.000258691,56,0.00041754,-1.614047686,108
eye,red,280,0.001392952,217,0.001617966,-1.161537888,497
eye,right,290,0.0014427,150,0.00111841,1.289956487,440
eye,round,107,0.000532307,102,0.000760519,-1.428723118,209
eye,sad,98,0.000487533,54,0.000402628,1.210878695,152
eye,set,78,0.000388037,31,0.000231138,1.678808776,109
eye,sharp,101,0.000502458,73,0.000544293,-1.083261141,174
eye,slightly,100,0.000497483,64,0.000477188,1.042529488,164
eye,slowly,165,0.000820847,117,0.00087236,-1.062756073,282
eye,small,196,0.000975066,84,0.000626309,1.556844036,280
eye,soft,67,0.000333313,77,0.000574117,-1.722453873,144
eye,soon,51,0.000253716,34,0.000253506,1.000828309,85
eye,spin-dry,28,0.000139295,59,0.000439908,-3.158098405,87
eye,still,498,0.002477464,331,0.002467958,1.003851959,829
eye,straight,104,0.000517382,69,0.000514468,1.005663228,173
eye,suddenly,182,0.000905419,131,0.000976745,-1.078776769,313
eye,swell,40,0.000198993,52,0.000387715,-1.948386135,92
eye,tight,80,0.000397986,56,0.00041754,-1.049130996,136
eye,tightly,55,0.000273616,46,0.000342979,-1.253507164,101
eye,tire,89,0.00044276,63,0.000469732,-1.060918984,152
eye,up,47,0.000233817,39,0.000290787,-1.243650724,86
eye,upward,64,0.000318389,40,0.000298243,1.067550196,104
eye,very,211,0.001049689,140,0.001043849,1.005594158,351
eye,watery,78,0.000388037,29,0.000216226,1.794588692,107
eye,wet,79,0.000393011,67,0.000499556,-1.271099036,146
eye,when,776,0.003860466,524,0.003906978,-1.012048309,1300
eye,where,70,0.000348238,28,0.00020877,1.668047181,98
eye,wide,637,0.003168965,626,0.004667497,-1.472877334,1263
eye,wild,72,0.000358188,45,0.000335523,1.067550196,117
eye,yellow,80,0.000397986,21,0.000156577,2.541786181,101
face,again,293,0.001457624,186,0.001386828,1.051049084,479
face,all,286,0.001422801,183,0.00136446,1.042757364,469
face,almost,104,0.000517382,72,0.000536837,-1.037602084,176
face,already,44,0.000218892,23,0.000171489,1.276418713,67
face,always,53,0.000263666,37,0.000275874,-1.046303149,90
face,away,295,0.001467574,280,0.002087698,-1.422550503,575
face,back,116,0.00057708,84,0.000626309,-1.085307926,200
face,beautiful,52,0.000258691,139,0.001036393,-4.006296934,191
face,big,76,0.000378087,24,0.000178946,2.112859763,100
face,black,94,0.000467634,30,0.000223682,2.090619134,124
face,blank,76,0.000378087,53,0.000395171,-1.045186894,129
face,bright,67,0.000333313,67,0.000499556,-1.498758565,134
face,broad,97,0.000482558,41,0.000305699,1.578542211,138
face,brown,64,0.000318389,39,0.000290787,1.094923278,103
face,calm,58,0.00028854,63,0.000469732,-1.62796189,121
face,clean,49,0.000243767,20,0.000149121,1.634686238,69
face,clearly,52,0.000258691,30,0.000223682,1.156512712,82
face,close,260,0.001293455,159,0.001185514,1.091049729,419
face,cold,45,0.000223867,41,0.000305699,-1.365535582,86
face,completely,56,0.00027859,29,0.000216226,1.28842265,85
face,dark,207,0.001029789,81,0.000603941,1.705114896,288
face,down,57,0.000283565,34,0.000253506,1.118572816,91
face,even,148,0.000736274,92,0.000685958,1.073352099,240
face,eye,43,0.000213918,36,0.000268418,-1.254774613,79
face,flush,72,0.000358188,70,0.000521925,-1.457126383,142
face,forward,50,0.000248741,16,0.000119297,2.085058977,66
face,full,96,0.000477583,81,0.000603941,-1.264577539,177
face,good,68,0.000338288,49,0.000365347,-1.07998779,117
face,grave,51,0.000253716,24,0.000178946,1.417840104,75
face,gray,62,0.000308439,24,0.000178946,1.723648754,86
face,haggard,51,0.000253716,18,0.000134209,1.890453472,69
face,handsome,205,0.00101984,39,0.000290787,3.507176125,244
face,hard,132,0.000656677,85,0.000633766,1.036151661,217
face,heavy,55,0.000273616,19,0.000141665,1.931423052,74
face,hot,84,0.000417885,79,0.000589029,-1.409546746,163
face,impassive,49,0.000243767,22,0.000164033,1.486078398,71
face,large,52,0.000258691,28,0.00020877,1.239120763,80
face,like,46,0.000228842,31,0.000231138,-1.010032946,77
face,line,65,0.000323364,36,0.000268418,1.204700742,101
face,little,134,0.000666627,135,0.001006569,-1.509943331,269
face,long,189,0.000940242,95,0.000708326,1.327414388,284
face,lovely,15,7.46E-05,85,0.000633766,-8.492965203,100
face,much,212,0.001054663,139,0.001036393,1.017628784,351
face,narrow,51,0.000253716,25,0.000186402,1.3611265,76
face,now,280,0.001392952,194,0.001446477,-1.038425577,474
face,old,84,0.000417885,71,0.000529381,-1.266807835,155
face,only,59,0.000293515,44,0.000328067,-1.117718252,103
face,open,51,0.000253716,25,0.000186402,1.3611265,76
face,own,295,0.001467574,169,0.001260075,1.164671996,464
face,pale,336,0.001671542,289,0.002154803,-1.28911079,625
face,pink,64,0.000318389,56,0.00041754,-1.311413745,120
face,pretty,16,7.96E-05,134,0.000999113,-12.55210298,150
face,puffy,36,0.000179094,34,0.000253506,-1.4154942,70
face,quite,71,0.000353213,45,0.000335523,1.05272311,116
face,red,456,0.002268521,181,0.001349548,1.680949204,637
face,right,116,0.00057708,54,0.000402628,1.433284985,170
face,round,147,0.0007313,130,0.000969288,-1.325432745,277
face,sad,64,0.000318389,37,0.000275874,1.15410832,101
face,serious,82,0.000407936,47,0.000350435,1.16408399,129
face,slightly,37,0.000184069,59,0.000439908,-2.389912307,96
face,slowly,57,0.000283565,45,0.000335523,-1.183230446,102
face,small,68,0.000338288,90,0.000671046,-1.983651042,158
face,smile,40,0.000198993,33,0.00024605,-1.236475816,73
face,smooth,75,0.000373112,78,0.000581573,-1.558708908,153
face,soft,39,0.000194018,60,0.000447364,-2.305782408,99
face,stern,49,0.000243767,24,0.000178946,1.362238531,73
face,still,315,0.001567071,227,0.001692527,-1.08005776,542
face,straight,49,0.000243767,30,0.000223682,1.089790825,79
face,suddenly,180,0.000895469,135,0.001006569,-1.124068924,315
face,sweet,21,0.000104471,49,0.000365347,-3.497103319,70
face,swell,44,0.000218892,39,0.000290787,-1.328445092,83
face,thin,155,0.000771098,105,0.000782887,-1.01528806,260
face,tire,54,0.000268641,34,0.000253506,1.059700562,88
face,ugly,49,0.000243767,21,0.000156577,1.556844036,70
face,very,194,0.000965117,103,0.000767975,1.256703507,297
face,warm,25,0.000124371,42,0.000313155,-2.517914389,67
face,wet,67,0.000333313,88,0.000656134,-1.968518712,155
face,when,247,0.001228782,177,0.001319724,-1.074009174,424
face,where,71,0.000353213,39,0.000290787,1.214680511,110
face,white,309,0.001537222,302,0.002251732,-1.464806106,611
face,whole,106,0.000527332,77,0.000574117,-1.088720844,183
face,wide,37,0.000184069,35,0.000260962,-1.417744589,72
face,wrinkle,46,0.000228842,32,0.000238594,-1.042614654,78
face,yellow,52,0.000258691,25,0.000186402,1.387815255,77
face,young,101,0.000502458,62,0.000462276,1.086921067,163
finger,again,86,0.000427835,51,0.000380259,1.125114177,137
finger,almost,21,0.000104471,12,8.95E-05,1.167633027,33
finger,around,19,9.45E-05,10,7.46E-05,1.267715858,29
finger,away,35,0.000174119,39,0.000290787,-1.670045258,74
finger,back,66,0.000328339,52,0.000387715,-1.180840082,118
finger,big,35,0.000174119,4,2.98E-05,5.838165134,39
finger,close,17,8.46E-05,12,8.95E-05,-1.057947222,29
finger,cold,31,0.00015422,27,0.000201314,-1.305370363,58
finger,delicate,13,6.47E-05,17,0.000126753,-1.959915047,30
finger,down,35,0.000174119,22,0.000164033,1.06148457,57
finger,even,27,0.00013432,16,0.000119297,1.125931847,43
finger,fat,21,0.000104471,18,0.000134209,-1.284650199,39
finger,first,30,0.000149245,13,9.69E-05,1.53973586,43
finger,gently,57,0.000283565,34,0.000253506,1.118572816,91
finger,glove,19,9.45E-05,24,0.000178946,-1.893168714,43
finger,hard,33,0.000164169,18,0.000134209,1.2232346,51
finger,leave,45,0.000223867,10,7.46E-05,3.002484926,55
finger,lightly,39,0.000194018,43,0.000320611,-1.652477392,82
finger,little,182,0.000905419,156,0.001163146,-1.284650199,338
finger,long,219,0.001089487,108,0.000805255,1.352971603,327
finger,middle,131,0.000651702,64,0.000477188,1.36571363,195
finger,much,33,0.000164169,22,0.000164033,1.000828309,55
finger,nervously,17,8.46E-05,16,0.000119297,-1.410596297,33
finger,now,50,0.000248741,28,0.00020877,1.191462272,78
finger,numb,23,0.000114421,13,9.69E-05,1.180464159,36
finger,only,21,0.000104471,11,8.20E-05,1.273781484,32
finger,own,66,0.000328339,52,0.000387715,-1.180840082,118
finger,point,20,9.95E-05,9,6.71E-05,1.482708606,29
finger,quickly,16,7.96E-05,14,0.000104385,-1.311413745,30
finger,quite,11,5.47E-05,14,0.000104385,-1.907510901,25
finger,right,17,8.46E-05,19,0.000141665,-1.675083102,36
finger,slender,12,5.97E-05,26,0.000193858,-3.247310225,38
finger,slightly,12,5.97E-05,15,0.000111841,-1.873448206,27
finger,slowly,64,0.000318389,33,0.00024605,1.294000238,97
finger,small,16,7.96E-05,26,0.000193858,-2.435482668,42
finger,stain,22,0.000109446,6,4.47E-05,2.446469199,28
finger,stiff,23,0.000114421,14,0.000104385,1.096145291,37
finger,still,64,0.000318389,43,0.000320611,-1.006978411,107
finger,strong,32,0.000159194,21,0.000156577,1.016714472,53
finger,stubby,23,0.000114421,12,8.95E-05,1.278836172,35
finger,suddenly,23,0.000114421,11,8.20E-05,1.395094006,34
finger,there,19,9.45E-05,15,0.000111841,-1.183230446,34
finger,thick,64,0.000318389,7,5.22E-05,6.100286834,71
finger,thin,30,0.000149245,31,0.000231138,-1.548717184,61
finger,tightly,17,8.46E-05,27,0.000201314,-2.380381251,44
finger,tiny,9,4.48E-05,22,0.000164033,-3.663632048,31
finger,together,86,0.000427835,62,0.000462276,-1.080500361,148
finger,up,30,0.000149245,7,5.22E-05,2.859509454,37
finger,very,21,0.000104471,14,0.000104385,1.000828309,35
finger,when,111,0.000552206,70,0.000521925,1.058018498,181
finger,where,45,0.000223867,21,0.000156577,1.429754727,66
finger,white,37,0.000184069,39,0.000290787,-1.579772542,76
finger,wide,18,8.95E-05,10,7.46E-05,1.200993971,28
foot,again,79,0.000393011,35,0.000260962,1.506008312,114
foot,all,13,6.47E-05,13,9.69E-05,-1.498758565,26
foot,almost,27,0.00013432,25,0.000186402,-1.387739412,52
foot,already,29,0.00014427,17,0.000126753,1.1381969,46
foot,apart,44,0.000218892,16,0.000119297,1.834851899,60
foot,away,28,0.000139295,11,8.20E-05,1.698375312,39
foot,back,91,0.000452709,51,0.000380259,1.190527792,142
foot,bare,415,0.002064553,479,0.003571455,-1.729892416,894
foot,barely,26,0.000129346,7,5.22E-05,2.478241526,33
foot,big,50,0.000248741,16,0.000119297,2.085058977,66
foot,boot,25,0.000124371,17,0.000126753,-1.019155824,42
foot,carefully,23,0.000114421,16,0.000119297,-1.042614654,39
foot,cold,34,0.000169144,30,0.000223682,-1.322434028,64
foot,down,21,0.000104471,11,8.20E-05,1.273781484,32
foot,even,29,0.00014427,24,0.000178946,-1.240351916,53
foot,far,29,0.00014427,7,5.22E-05,2.764192472,36
foot,firmly,39,0.000194018,13,9.69E-05,2.001656618,52
foot,flat,17,8.46E-05,10,7.46E-05,1.134272083,27
foot,forward,24,0.000119396,16,0.000119297,1.000828309,40
foot,front,19,9.45E-05,12,8.95E-05,1.056429881,31
foot,good,44,0.000218892,11,8.20E-05,2.66887549,55
foot,hard,41,0.000203968,12,8.95E-05,2.279664481,53
foot,large,24,0.000119396,18,0.000134209,-1.124068924,42
foot,leave,191,0.000950192,76,0.000566661,1.676826377,267
foot,little,35,0.000174119,69,0.000514468,-2.954695457,104
foot,long,28,0.000139295,25,0.000186402,-1.33817729,53
foot,much,33,0.000164169,16,0.000119297,1.376138925,49
foot,naked,20,9.95E-05,29,0.000216226,-2.173199919,49
foot,now,60,0.00029849,18,0.000134209,2.224062908,78
foot,numb,24,0.000119396,9,6.71E-05,1.779250327,33
foot,other,28,0.000139295,9,6.71E-05,2.075792048,37
foot,own,161,0.000800947,91,0.000678502,1.180464159,252
foot,right,205,0.00101984,97,0.000723238,1.410101741,302
foot,slippere,20,9.95E-05,13,9.69E-05,1.026490573,33
foot,slowly,31,0.00015422,16,0.000119297,1.292736565,47
foot,small,32,0.000159194,50,0.000372803,-2.341810258,82
foot,sore,28,0.000139295,7,5.22E-05,2.66887549,35
foot,still,63,0.000313414,30,0.000223682,1.401159632,93
foot,stock,51,0.000253716,34,0.000253506,1.000828309,85
foot,stockinged,37,0.000184069,34,0.000253506,-1.3772376,71
foot,suddenly,22,0.000109446,12,8.95E-05,1.2232346,34
foot,swell,23,0.000114421,32,0.000238594,-2.085229308,55
foot,tiny,15,7.46E-05,34,0.000253506,-3.397186081,49
foot,together,37,0.000184069,20,0.000149121,1.234354914,57
foot,up,24,0.000119396,18,0.000134209,-1.124068924,42
foot,very,31,0.00015422,14,0.000104385,1.477413218,45
foot,wet,20,9.95E-05,29,0.000216226,-2.173199919,49
foot,when,120,0.000596979,76,0.000566661,1.053503483,196
foot,where,57,0.000283565,40,0.000298243,-1.051760397,97
foot,white,24,0.000119396,24,0.000178946,-1.498758565,48
foot,wide,23,0.000114421,11,8.20E-05,1.395094006,34
hair,again,45,0.000223867,76,0.000566661,-2.531236688,121
hair,all,18,8.95E-05,48,0.000357891,-3.996689507,66
hair,almost,45,0.000223867,40,0.000298243,-1.332229836,85
hair,already,26,0.000129346,15,0.000111841,1.156512712,41
hair,always,28,0.000139295,34,0.000253506,-1.819921115,62
hair,around,8,3.98E-05,31,0.000231138,-5.80768944,39
hair,away,30,0.000149245,64,0.000477188,-3.197351606,94
hair,back,437,0.002174,930,0.006934141,-3.189577724,1367
hair,beautiful,11,5.47E-05,58,0.000432452,-7.902545162,69
hair,black,494,0.002457565,480,0.003578911,-1.456283626,974
hair,blond,211,0.001049689,367,0.002736376,-2.606845466,578
hair,blonde,6,2.98E-05,100,0.000745607,-24.97930942,106
hair,blue,17,8.46E-05,22,0.000164033,-1.939569908,39
hair,bright,26,0.000129346,65,0.000484644,-3.746896413,91
hair,brown,196,0.000975066,264,0.001968401,-2.018736027,460
hair,carefully,30,0.000149245,37,0.000275874,-1.848468897,67
hair,close,55,0.000273616,17,0.000126753,2.158649293,72
hair,color,24,0.000119396,35,0.000260962,-2.185689574,59
hair,comb,32,0.000159194,6,4.47E-05,3.558500653,38
hair,crop,53,0.000263666,36,0.000268418,-1.018024686,89
hair,curl,21,0.000104471,19,0.000141665,-1.356019654,40
hair,curly,130,0.000646728,72,0.000536837,1.204700742,202
hair,cut,17,8.46E-05,20,0.000149121,-1.763245371,37
hair,damp,38,0.000189043,36,0.000268418,-1.419876535,74
hair,dark,321,0.00159692,542,0.004041187,-2.530614151,863
hair,dirty,18,8.95E-05,19,0.000141665,-1.58202293,37
hair,down,30,0.000149245,88,0.000656134,-4.396358458,118
